연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2017,12,읍면동,경기도 고양시 일산서구 일산2동,20625,1357,2037,3136,2325,3486,4354,2052,1223,591,61,3,10138,669,1074,1584,1172,1686,2183,1040,513,200,17,0,10487,688,963,1552,1153,1800,2171,1012,710,391,44,3
2017,12,읍면동,경기도 고양시 일산서구 일산3동,38176,3199,6604,5286,3771,8454,6371,2334,1291,773,89,4,18547,1655,3393,2705,1692,3784,3258,1242,510,280,28,0,19629,1544,3211,2581,2079,4670,3113,1092,781,493,61,4
2017,12,읍면동,경기도 고양시 일산서구 주엽1동,29783,2492,3894,3930,3576,5738,4897,2317,1761,1069,105,4,14145,1243,2038,1992,1644,2616,2386,1134,663,393,35,1,15638,1249,1856,1938,1932,3122,2511,1183,1098,676,70,3
2017,12,읍면동,경기도 고양시 일산서구 주엽2동,31203,2464,3839,4233,3680,5786,5239,2592,2023,1189,150,8,14665,1245,1947,2114,1741,2592,2547,1272,739,421,42,5,16538,1219,1892,2119,1939,3194,2692,1320,1284,768,108,3
2017,12,읍면동,경기도 고양시 일산서구 탄현동,49800,4965,6273,7122,6964,9864,8240,3061,2131,1062,116,2,24434,2622,3242,3646,3277,4725,4206,1477,842,367,30,0,25366,2343,3031,3476,3687,5139,4034,1584,1289,695,86,2
2017,12,시군,경기도 과천시 ,57527,4463,7015,7983,6940,9977,10083,5819,3290,1637,280,40,28085,2287,3677,4223,3416,4665,4956,2841,1397,549,69,5,29442,2176,3338,3760,3524,5312,5127,2978,1893,1088,211,35
2017,12,읍면동,경기도 과천시 갈현동,11345,1221,1613,1355,1307,2327,1778,932,551,220,37,4,5513,604,825,722,560,1120,886,478,232,79,7,0,5832,617,788,633,747,1207,892,454,319,141,30,4
2017,12,읍면동,경기도 과천시 과천동,9521,731,720,1263,1658,1493,1545,1216,634,221,38,2,4911,366,384,689,941,788,746,600,312,76,9,0,4610,365,336,574,717,705,799,616,322,145,29,2
2017,12,읍면동,경기도 과천시 문원동,8188,722,1059,924,1035,1545,1265,857,521,215,36,9,3955,378,565,471,505,739,622,389,214,64,7,1,4233,344,494,453,530,806,643,468,307,151,29,8
2017,12,읍면동,경기도 과천시 별양동,11148,654,1495,1768,1051,1815,2188,1086,616,402,63,10,5314,332,785,935,486,777,1080,525,244,131,18,1,5834,322,710,833,565,1038,1108,561,372,271,45,9
